,Token,Count
0,engang,3
1,jesus,2
2,mon,2
3,fortalte,2
4,forfærdede,2
5,englene,2
6,bog,2
7,f,2
8,jesu,2
9,forleden,2
10,sidste,2
11,verden,2
12,talte,2
13,efteråret,2
14,døde,2
